grafana  | logger=migrator t=2025-05-19T16:50:40.779390713Z level=info msg="Executing migration" id="Drop old table user_v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.779606588Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=216.041µs
grafana  | logger=migrator t=2025-05-19T16:50:40.783490546Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
grafana  | logger=migrator t=2025-05-19T16:50:40.784508463Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=1.018ms
grafana  | logger=migrator t=2025-05-19T16:50:40.785529171Z level=info msg="Executing migration" id="Update user table charset"
grafana  | logger=migrator t=2025-05-19T16:50:40.785538463Z level=info msg="Migration successfully executed" id="Update user table charset" duration=9.458µs
grafana  | logger=migrator t=2025-05-19T16:50:40.78636688Z level=info msg="Executing migration" id="Add last_seen_at column to user"
grafana  | logger=migrator t=2025-05-19T16:50:40.786741171Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=374.084µs
grafana  | logger=migrator t=2025-05-19T16:50:40.787694296Z level=info msg="Executing migration" id="Add missing user data"
grafana  | logger=migrator t=2025-05-19T16:50:40.787755255Z level=info msg="Migration successfully executed" id="Add missing user data" duration=61.209µs
grafana  | logger=migrator t=2025-05-19T16:50:40.78946938Z level=info msg="Executing migration" id="Add is_disabled column to user"
grafana  | logger=migrator t=2025-05-19T16:50:40.789807713Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=338.5µs
grafana  | logger=migrator t=2025-05-19T16:50:40.790810838Z level=info msg="Executing migration" id="Add index user.login/user.email"
grafana  | logger=migrator t=2025-05-19T16:50:40.79108438Z level=info msg="Migration successfully executed" id="Add index user.login/user.email" duration=273.167µs
grafana  | logger=migrator t=2025-05-19T16:50:40.79192988Z level=info msg="Executing migration" id="Add is_service_account column to user"
grafana  | logger=migrator t=2025-05-19T16:50:40.792271671Z level=info msg="Migration successfully executed" id="Add is_service_account column to user" duration=341.792µs
grafana  | logger=migrator t=2025-05-19T16:50:40.79417763Z level=info msg="Executing migration" id="Update is_service_account column to nullable"
grafana  | logger=migrator t=2025-05-19T16:50:40.79684138Z level=info msg="Migration successfully executed" id="Update is_service_account column to nullable" duration=2.663542ms
grafana  | logger=migrator t=2025-05-19T16:50:40.797631838Z level=info msg="Executing migration" id="Add uid column to user"
grafana  | logger=migrator t=2025-05-19T16:50:40.797971046Z level=info msg="Migration successfully executed" id="Add uid column to user" duration=339.25µs
grafana  | logger=migrator t=2025-05-19T16:50:40.798887963Z level=info msg="Executing migration" id="Update uid column values for users"
grafana  | logger=migrator t=2025-05-19T16:50:40.798937921Z level=info msg="Migration successfully executed" id="Update uid column values for users" duration=49.333µs
grafana  | logger=migrator t=2025-05-19T16:50:40.800069046Z level=info msg="Executing migration" id="Add unique index user_uid"
grafana  | logger=migrator t=2025-05-19T16:50:40.800273796Z level=info msg="Migration successfully executed" id="Add unique index user_uid" duration=204.75µs
grafana  | logger=migrator t=2025-05-19T16:50:40.80230613Z level=info msg="Executing migration" id="Add is_provisioned column to user"
grafana  | logger=migrator t=2025-05-19T16:50:40.80281763Z level=info msg="Migration successfully executed" id="Add is_provisioned column to user" duration=511.584µs
grafana  | logger=migrator t=2025-05-19T16:50:40.803966088Z level=info msg="Executing migration" id="update login field with orgid to allow for multiple service accounts with same name across orgs"
grafana  | logger=migrator t=2025-05-19T16:50:40.804275755Z level=info msg="Migration successfully executed" id="update login field with orgid to allow for multiple service accounts with same name across orgs" duration=309.958µs
grafana  | logger=migrator t=2025-05-19T16:50:40.805330088Z level=info msg="Executing migration" id="update service accounts login field orgid to appear only once"
grafana  | logger=migrator t=2025-05-19T16:50:40.805534421Z level=info msg="Migration successfully executed" id="update service accounts login field orgid to appear only once" duration=204.25µs
grafana  | logger=migrator t=2025-05-19T16:50:40.807562463Z level=info msg="Executing migration" id="update login and email fields to lowercase"
grafana  | logger=migrator t=2025-05-19T16:50:40.807771213Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase" duration=208.5µs
grafana  | logger=migrator t=2025-05-19T16:50:40.809282213Z level=info msg="Executing migration" id="update login and email fields to lowercase2"
grafana  | logger=migrator t=2025-05-19T16:50:40.809392421Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase2" duration=110.583µs
grafana  | logger=migrator t=2025-05-19T16:50:40.81033388Z level=info msg="Executing migration" id="create temp user table v1-7"
grafana  | logger=migrator t=2025-05-19T16:50:40.810639546Z level=info msg="Migration successfully executed" id="create temp user table v1-7" duration=305.875µs
grafana  | logger=migrator t=2025-05-19T16:50:40.811824588Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v1-7"
grafana  | logger=migrator t=2025-05-19T16:50:40.812006255Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v1-7" duration=181.875µs
grafana  | logger=migrator t=2025-05-19T16:50:40.815741588Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v1-7"
grafana  | logger=migrator t=2025-05-19T16:50:40.815934296Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v1-7" duration=192.833µs
grafana  | logger=migrator t=2025-05-19T16:50:40.817859088Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v1-7"
grafana  | logger=migrator t=2025-05-19T16:50:40.818054338Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v1-7" duration=195.209µs
grafana  | logger=migrator t=2025-05-19T16:50:40.818982338Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v1-7"
grafana  | logger=migrator t=2025-05-19T16:50:40.819159921Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v1-7" duration=177.667µs
grafana  | logger=migrator t=2025-05-19T16:50:40.820171296Z level=info msg="Executing migration" id="Update temp_user table charset"
grafana  | logger=migrator t=2025-05-19T16:50:40.820180046Z level=info msg="Migration successfully executed" id="Update temp_user table charset" duration=8.166µs
grafana  | logger=migrator t=2025-05-19T16:50:40.820745755Z level=info msg="Executing migration" id="drop index IDX_temp_user_email - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.820934255Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_email - v1" duration=188.375µs
grafana  | logger=migrator t=2025-05-19T16:50:40.822837713Z level=info msg="Executing migration" id="drop index IDX_temp_user_org_id - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.822993338Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_org_id - v1" duration=155.667µs
grafana  | logger=migrator t=2025-05-19T16:50:40.823855005Z level=info msg="Executing migration" id="drop index IDX_temp_user_code - v1"
